id,name,relationship,relative,relativename
Q104522297,Alexandru Popa,father,Q23894618,Radu Popa
Q104535925,Dănuț Aelenei,spouse,Q104654851,Evdochia Aelenei
Q104537093,Iulian-Alexandru Badea,father,Q197661,Pavel Badea
Q104537428,Maria-Gabriela Horga,father,Q12743195,Vasile Horga
Q104578498,Remus Munteanu,father,Q18542120,Ioan Munteanu
Q104599949,Vlad Popescu,father,Q12725946,Cristian Popescu Piedone
Q104641546,Ciprian Pandea,father,Q23930788,Nicolae Pandea
Q104654851,Evdochia Aelenei,spouse,Q104535925,Dănuț Aelenei
Q106574142,Ioana Mihăilă,spouse,Q107145564,Marius Călin Mihăilă
Q1128407,Lavinia Șandru,spouse,Q12726420,Darius Bogdan Vâlcov
Q1177587,Mircea Diaconu,spouse,Q12726648,Diana Lupescu
Q12721231,Aurel Gabriel Simionescu,child,Q18547903,Aurora Simionescu
Q12722834,Bogdan Diaconu,spouse,Q886476,Maria Olaru
Q12725957,Cristian Țopescu,child,Q18548823,Cristina Țopescu
Q12726420,Darius Bogdan Vâlcov,spouse,Q1128407,Lavinia Șandru
Q12729143,Gheorghe Firczak,child,Q28113995,Iulius Marian Firczak
Q12732138,Lia Olguța Vasilescu,spouse,Q18541650,Iulian Claudiu Manda
Q12732138,Lia Olguța Vasilescu,spouse,Q99771842,Ovidiu Wlassopol
Q12734963,Mariana Stoica,spouse,Q18541001,Ion Aurel Stoica
Q12735779,Mitzura Arghezi,father,Q435755,Tudor Arghezi
Q12736877,Nora Cecilia Rebreanu,spouse,Q17122031,Mihai Drăgănescu
Q12737885,Petru Caraman,father,Q12737877,Petru Caraman
Q12739456,Robert Sorin Negoiță,sibling,Q55606108,Ionuț Negoiță
Q12743401,Victor Socaciu,spouse,Q110278347,Marina Almășan
Q12743401,Victor Socaciu,spouse,Q12725737,Cornelia Pavlovici
Q12743606,Vlad Alexandrescu,father,Q12737818,Petre Alexandrescu
Q12743606,Vlad Alexandrescu,mother,Q12734883,Maria Alexandrescu Vianu
Q13580347,Ilie Sârbu,child,Q274779,Daciana Sârbu
Q13580347,Ilie Sârbu,spouse,Q17278773,Mariana Sârbu
Q1611034,Hermann Fabini,sibling,Q12743890,Wilhelm Fabini
Q16593781,Gabriela Firea,spouse,Q12728365,Florentin Pandele
Q18537738,Doru Laurian Bădulescu,child,Q108597241,Raluca Bădulescu
Q18538104,Gabriel Bivolaru,sibling,Q12735419,Mihaela Ene
Q18538104,Gabriel Bivolaru,sibling,Q4993501,Gregorian Bivolaru
Q18539583,Daniel Gheorghe,father,Q23728802,Constantin Silviu Gigi
Q18541634,Liviu Maior,child,Q5542064,George Maior
Q18541650,Iulian Claudiu Manda,spouse,Q12732138,Lia Olguța Vasilescu
Q18541759,Alexandru Mazare,sibling,Q4684822,Radu Ștefan Mazăre
Q18541959,Adrian Mocanu,father,Q18541965,Victor Mocanu
Q18542120,Ioan Munteanu,child,Q104578498,Remus Munteanu
Q18542322,Rareș Mănescu,spouse,Q3064927,Ramona Mănescu
Q18544042,Dan Ghibernea,spouse,Q12741926,Tania Filip
Q18548147,Alexandru Stănescu,sibling,Q28113893,Paul Stănescu
Q18549337,Daniel-Cătălin Zamfir,spouse,Q18548093,Oana Stancu
Q18561320,Carmen Iohannis,spouse,Q701484,Klaus Iohannis
Q189575,Ion Iliescu,father,Q16658368,Alexandru Iliescu
Q189575,Ion Iliescu,spouse,Q19664699,Nina Iliescu
Q19664699,Nina Iliescu,spouse,Q189575,Ion Iliescu
Q21095867,Sorin Cîmpeanu,spouse,Q110420006,Carmen Cîmpeanu
Q21512989,Claudia Ana Costea Moarcăș,spouse,Q5299031,Doru Romulus Costea
Q21747049,Cornel-Cristian Resmeriță,father,Q26272153,Cornel Resmeriță
Q21747049,Cornel-Cristian Resmeriță,sibling,Q30243310,Lucian Resmeriță
Q2187195,Ion Dolănescu,spouse,Q12731214,Justina Băluțeanu
Q2187195,Ion Dolănescu,spouse,Q2900820,Maria Ciobanu
Q23091017,Aurel Bălășoiu,child,Q107369209,Victor Bălășoiu
Q24027996,Corina Șuteu,father,Q111804481,Flora Șuteu
Q274739,Adina-Ioana Vălean,spouse,Q440970,Crin Antonescu
Q28055984,Victoria Longher,spouse,Q5556492,Ghervazen Longher
Q28113893,Paul Stănescu,sibling,Q18548147,Alexandru Stănescu
Q28113942,Andi-Gabriel Grosaru,father,Q3858799,Mircea Grosaru
Q28113995,Iulius Marian Firczak,father,Q12729143,Gheorghe Firczak
Q2833939,Alexandru Paleologu,child,Q3523675,Theodor Paleologu
Q28379851,Andreea Cosma,father,Q18539314,Mircea Cosma
Q28379851,Andreea Cosma,sibling,Q12743610,Vlad-Alexandru Cosma
Q3064927,Ramona Mănescu,spouse,Q18542322,Rareș Mănescu
Q316823,Petre Roman,father,Q4397003,Valter Roman
Q347209,Vasile Dîncu,father,Q110383932,Vasile Dâncu
Q3518228,Teodor Meleșcanu,spouse,Q12728183,Felicia Meleșcanu
Q3523675,Theodor Paleologu,father,Q2833939,Alexandru Paleologu
Q3858799,Mircea Grosaru,child,Q28113942,Andi-Gabriel Grosaru
Q435200,Mircea Geoană,spouse,Q100334078,Mihaela Geoană
Q440970,Crin Antonescu,spouse,Q274739,Adina-Ioana Vălean
Q463774,Elena Udrea,spouse,Q12726945,Dorin Cocoș
Q4775647,Anton Anton,father,Q12730661,Ioan Anton
Q5216496,Daniel Barbu,sibling,Q18548716,Tudor Barbu
Q5299031,Doru Romulus Costea,spouse,Q21512989,Claudia Ana Costea Moarcăș
Q539072,Anghel Iordănescu,child,Q5340416,Eduard Iordănescu
Q5542064,George Maior,father,Q18541634,Liviu Maior
Q5542064,George Maior,spouse,Q106834896,Anamaria Buzura
Q5556492,Ghervazen Longher,spouse,Q28055984,Victoria Longher
Q57279,Traian Băsescu,child,Q271266,Elena Băsescu
Q57279,Traian Băsescu,spouse,Q18684617,Maria Băsescu
Q57692,Victor Ponta,spouse,Q17278768,Roxana Ponta
Q57692,Victor Ponta,spouse,Q274779,Daciana Sârbu
Q6272196,Ion Caramitru,spouse,Q104155644,Micaela Caracaș
Q646453,Dan Voiculescu,child,Q31180472,Camelia Voiculescu
Q6498808,Laura Codruța Kövesi,spouse,Q27044362,Eduárd Kövesi
Q663875,Margareta of Romania,father,Q930013,Michael I of Romania
Q663875,Margareta of Romania,godparent,Q259752,Princess Margaret of Denmark
Q663875,Margareta of Romania,godparent,Q80976,"Prince Philip, Duke of Edinburgh"
Q663875,Margareta of Romania,mother,Q563765,Queen Anne of Romania
Q663875,Margareta of Romania,sibling,Q1212263,Princess Maria of Romania
Q663875,Margareta of Romania,sibling,Q1468375,Princess Sophie of Romania
Q663875,Margareta of Romania,sibling,Q2423576,Princess Elena of Romania
Q663875,Margareta of Romania,sibling,Q6658829,Princess Irina of Romania
Q663875,Margareta of Romania,spouse,Q3029911,"Prince Radu, Prince of Romania"
Q6659788,Nicolae-Liviu Dragnea,spouse,Q64168111,Bombonica Dragnea
Q671955,Ludovic Orban,sibling,Q463274,Leonard Orban
Q6845299,Mihnea Motoc,spouse,Q6095446,Iulia Motoc
Q701484,Klaus Iohannis,spouse,Q18561320,Carmen Iohannis
Q7288407,Raluca Turcan,spouse,Q7911420,Valeriu Turcan
Q731851,Péter Eckstein-Kovács,spouse,Q12346302,Csilla Könczei
Q7356775,Rodica Stănoiu,spouse,Q18548098,Șerban Stănoiu
Q8273614,Irina Loghin,spouse,Q1413817,Ion Cernea
Q853537,Ferenc Bárányi,spouse,Q853538,Ildikó Bárányiné László
Q897108,Béla Markó,spouse,Q56389236,Anna Kós
Q97193689,Iulian-Alexandru Muraru,sibling,Q19707772,Andrei Muraru
